Unnamed: 0,symbol,2022-05-12
0,BTC,77590950721.01555
1,ETH,50198327773.9241
2,USDT,171405573987.0808
3,USDC,17279931576.550682
4,BNB,4159003060.198311
5,XRP,5709763844.417083
6,BUSD,17265223778.61619
7,SOL,5062753573.675796
8,ADA,2880168517.39517
9,DOGE,2837695049.4468412
10,UST,7573259317.296344
11,WBTC,2414123589.99447
12,DOT,1093533240.7852373
13,AVAX,4507933461.721635
14,TRX,2504977464.7702007
15,DAI,1905467028.304638
16,SHIB,1686677957.1905184
17,LEO,11060890.36546092
18,CRO,142771195.46460915
19,MATIC,1819369010.9509292
20,LTC,2059088864.467384
21,FTT,2432001781.296763
22,NEAR,353348071.517526
23,BCH,3910279620.7395425
24,UNI,528972629.265382
25,LINK,1390755039.1865633
26,XLM,697317057.6669713
27,ALGO,711839651.2923023
28,ATOM,1506051788.618429
29,ETC,1052481443.3461151
30,XMR,340872174.81181335
31,EGLD,253479067.5207545
32,APE,1825511900.0288367
33,VET,578970447.0868566
34,HBAR,198957904.90441114
35,ICP,972328446.5868552
36,FIL,384573577.0572064
37,XTZ,279436880.00935024
38,SAND,958532850.2460856
39,TUSD,984142107.3837291
40,MANA,823749777.0398499
41,EOS,705404664.2240568
42,AXS,1167038857.1276925
43,THETA,330923048.7467532
44,ZEC,346725471.8341667
45,CAKE,270144381.8886239
46,KLAY,163085408.647381
47,MKR,518690622.17044073
48,KCS,731789894.747829
49,AAVE,24430251.81463642
50,BTT,229851251.44107968
51,USDP,77858274.08166236
52,HT,142797696.12019297
53,RUNE,337363937.99921197
54,BSV,550845304.9992089
55,FLOW,417557492.0271605
56,GRT,312561604.82713544
57,HNT,155505267.6023039
58,USDN,8598211406.098927
59,CVX,32595722.50742719
60,MIOTA,33048941.64348551
61,NEXO,125496885.65163817
62,WAVES,855479441.751287
63,NEO,71118119.2945687
64,LUNA,863307158.1729543
65,STX,245607803.79537472
66,FTM,45413390.62672449
67,QNT,148715202.54850686
68,PAXG,111896626.41353357
69,OKB,86160094.10121554
70,CELO,236483153.45359957
71,GMT,2126524596.2058663
72,CRV,417518705.3606381
73,ZIL,210424337.74113783
74,KSM,941722633.6439308
75,GNO,48657879.80190501
76,XEC,41158763.06376188
77,CHZ,221891989.23778746
78,XDC,377551159.4247585
79,DASH,28644473.20655431
80,LRC,312967511.0607505
81,BAT,209284679.78732666
82,ENJ,366758695.87143755
83,DCR,6321824.86976515
84,MINA,78520052.68686159
85,AMP,22861441.73772547
86,FEI,154790859.3348425
87,ONE,30272019.39822886
88,LDO,180693412.4396344
89,COMP,133019391.54445517
90,AR,717424055.7520273
91,GALA,24272968.98287117
92,HOT,84831077.76567046
93,XEM,40762967.24995637
94,GT,25492416.35688386
95,YFI,277720062.784765
96,XYM,256556512.9668137
97,QTUM,20286277.93062395
98,BNT,311795728.6525774
99,1INCH,47570915.59242531
100,GLMR,88150161.87930639
101,LPT,58158925.73175236
102,GUSD,72327870.19736873
103,SCRT,7969791.04415492
104,OMG,303255761.9458919
105,KAVA,26048303.72711355
106,ICX,71919278.91706808
107,TFUEL,41986954.26431821
108,JST,208612947.67977864
109,BTG,124333529.77372716
110,CEL,15475109.0357982
111,IOST,111330335.48853305
112,USDD,11058796.99373058
113,ZRX,111067611.09110288
114,SRM,35012789.1225703
115,KDA,77210142.17944932
116,SNX,173009490.87235957
117,SKL,35844521.79417556
118,AUDIO,58108768.52165008
119,CHSB,59069694.25966734
120,BORA,1966449.88324243
121,BTRST,45021545.4151696
122,RVN,52852578.37214211
123,NFT,4682190.911057
124,IOTX,55025130.11937395
125,ELON,178888938.33312756
126,ANKR,58356672.14838117
127,KNC,234469246.87845063
128,ZEN,76942361.86418329
129,ROSE,117436325.42435269
130,RENBTC,20239024.37468923
131,SC,40272393.41125382
132,RLY,106406317.9058808
133,ILV,34677203.25497731
134,ONT,3613373.6921896
135,VGX,8616408.36162869
136,FXS,69007733.01774482
137,RNDR,37176020.77727433
138,IMX,57099883.6989009
139,WAXP,211310370.55860916
140,GLM,8670749.49460272
141,MXC,229669968.35800338
142,XPRT,53377019.31547969
143,ENS,177910660.22025207
144,WOO,8878522.81202644
145,SXP,13988538.70774383
146,UMA,15209807.18089248
147,STORJ,69417058.38667352
148,HIVE,64095518.79565457
149,VLX,35650801.561845
150,ACA,12148384.06583463
151,CKB,492555231.7917287
152,SUSHI,17019346.61363873
153,CSPR,21330293.12032301
154,TWT,28434656.63613838
155,DGB,51036202.65899266
156,FLUX,26816773.57927962
157,WIN,133086242.01362048
158,MX,12656523.52859327
159,XCH,16984465.10702893
160,POLY,19380749.43932692
161,KEEP,2997929.11041934
162,CFX,60589222.3989302
163,REN,14732249.32687378
164,RAY,16593053.05714957
165,TRIBE,103958452.65797509
166,XNO,3239576.09846188
167,LOCUS,9180897.73640689
168,AVINOC,715649.17207647
169,XDB,25728303.68093776
170,DAO,7630029.85110145
171,PLA,2397213.40348815
172,OCEAN,36232379.96897727
173,LSK,13634812.6409819
174,NU,5776782.58604646
175,ORBS,7809918.24475206
176,TEL,14152722.76041508
177,MED,723837.11908635
178,SUSD,2916166.72228524
179,DIVI,459919.83632252
180,CEEK,196431549.06892863
181,FET,20382485.4738741
182,DAG,25287641.3782181
183,DYDX,75901705.60082641
184,COTI,4555460.58120578
185,REQ,37163530.55985539
186,INJ,21421329.48093871
187,XYO,56680083.42096491
188,UOS,9510298.86624292
189,ASD,2523561.03336949
190,FUN,7326079.17873672
191,RGT,19999392.10907971
192,DENT,84123205.80222575
193,SPELL,10834953.91115211
194,SYS,12750033.21251276
195,FX,34430408.53024202
196,GHST,203966523.94608268
197,SNT,2205089.97984788
198,PUNDIX,36098917.28099561
199,SUN,67301349.51005805
200,HEX,49041643.45847905
201,WTRX,36689128.15550543
202,stETH,5536245.10006039
203,YOUC,805691.30009775
204,BTCB,196216727.35076556
205,FRAX,229635483.02018285
206,TON,8264952.57054062
207,DFI,98364231.48921111
208,BTTOLD,29638.85127785
209,XCN,155205291.20842502
210,WBNB,1153041455.4664044
211,HBTC,9021285.02547827
212,LUSD,19088315.43819905
213,SAFE,0
214,OSMO,379057334.1986722
215,BIT,67991874.26898474
216,XAUT,14959723.01084306
217,NXM,449.06040265
218,CCXX,728221.26311152
219,TTT,394279.14806434
220,HUSD,105661966.61926103
221,SAPP,7771686.9070542
222,T,17741990.98569568
223,EVER,11245607.4395895
224,LN,6361707.61432072
225,FRTS,2134060.43994821
226,LOOKS,94647117.97411676
227,BEST,78528.81377774
228,KOK,11092274.3613391
229,BNX,72537068.12607014
230,RPL,1475553.18607591
231,XWC,6437912.37566319
232,WEMIX,67801286.14061734
233,ASTR,55502864.04432421
234,VVS,5337384.46966495
235,WVLX,0
236,XSGD,2476858.97126941
237,ARRR,4218235.19697891
238,TITAN,2650578.12615152
239,ANY,4359863.96269541
240,CBG,1191959.82994292
241,EURS,61091927.81696016
242,MVL,5179283.92269452
243,1ECO,16220681.44782473
244,HUM,555167.5222771
245,RACA,51264155.28927971
246,MOB,9426059.46721643
247,GAL,448354695.01453424
248,HXRO,1347663.99561114
249,SURE,922674.52995729
250,MPL,8646789.64560245
251,SOLO,3267621.67810149
252,vUSDC,0
253,BSW,90125665.91450904
254,AURORA,10707513.6892245
255,HEDG,1518.37593222
256,USDX,840499.92922312
257,PERP,23473674.66979983
258,CELR,69029224.45490792
259,ONG,14642767.08621995
260,RBTC,209374.83928902
261,CHR,39872866.36705571
262,POWR,16064398.12564817
263,CTSI,0.41443934
264,HYN,6798367.8673324
265,REV,881466.94154155
266,ARDR,1932350.00434867
267,CENNZ,1021080.3479499
268,EPS,606715.86009961
269,WXT,3139723.1270135
270,MOVR,42911303.79290595
271,RKN,8576.97049388
272,erowan,13074562.42187366
273,TLOS,1529542.46075038
274,MDX,67207762.10090873
275,DERO,9941525.93079731
276,CVC,7904377.98567155
277,AMPL,1009195.60863949
278,EWT,16815024.3173719
279,DESO,1785393.70855714
280,TRAC,2607029.75860924
281,PYR,44217631.92438824
282,RIF,44477390.77649098
283,SNL,0
284,C98,3631650.92881967
285,NMR,20067914.00401074
286,MAID,7397.68980531
287,ELF,30397401.34357685
288,MNGO,29258214.52659512
289,ABBC,922936.55682447
290,CTC,23313320.82448696
291,ADS,19666535.7242631
292,STEEM,17421672.49532637
293,STMX,2758319.19626243
294,LYXe,1519885.75359248
295,JOE,231530805.90951642
296,STRK,3742017.69156353
297,DAR,43119589.87484585
298,OUSD,152348134.3616062
299,DAWN,10563708.9429063
